Watching for file changes with StatReloader
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=aluminum&trade_category=windows&search= 200 [0.09, 127.0.0.1:62905]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=glass&trade_category=mirrors&search= 200 [0.04, 127.0.0.1:62905]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=glass&trade_category=mirrors&listing_type=sale&search= 200 [0.04, 127.0.0.1:62906]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=network&trade_category=cctv&search= 200 [0.08, 127.0.0.1:62906]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=network&trade_category=cctv&listing_type=sale&search= 200 [0.09, 127.0.0.1:62905]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=gardener&trade_category=garden&search= 200 [0.05, 127.0.0.1:62905]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=gardener&trade_category=garden&listing_type=sale&search= 200 [0.05, 127.0.0.1:62906]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=cleaning&trade_category=homes&listing_type=sale&search= 200 [0.06, 127.0.0.1:62905]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=cleaning&trade_category=homes&search= 200 [0.08, 127.0.0.1:62906]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=cleaning&trade_category=homes&listing_type=sale&search= 200 [0.03, 127.0.0.1:62940]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=cleaning&trade_category=homes&search= 200 [0.04, 127.0.0.1:62939]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=cleaning&trade_category=homes&search= 200 [0.04, 127.0.0.1:62939]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=cleaning&trade_category=homes&listing_type=sale&search= 200 [0.08, 127.0.0.1:62940]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&listing_type=sale 200 [0.09, 127.0.0.1:62939]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=cleaning&trade_category=homes 200 [0.11, 127.0.0.1:62940]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D8%AF%D9%82%D9%87%D9%84%D9%8A%D8%A9&center=%D8%A7%D9%84%D8%B3%D9%86%D8%A8%D9%84%D8%A7%D9%88%D9%8A%D9%86&trade=cleaning&trade_category=homes&listing_type=sale&search= 200 [0.04, 127.0.0.1:62939]
